хабр: хабр
откр: открыть
список: список
стат: стать
автор: автором авторы авторов
поток: потоки
разработк: разработка
администрирован: администрирование
дизайн: дизайн
менеджмент: менеджмент
маркетинг: маркетинг
научпоп: научпоп
поиск: поиск
профил: профиль
обнов: обновить
карм: карма
рейтинг: рейтинг рейтинге
павел: павел
довгалюк: довгалюк
системн: системный системного
программист: программист
публикац: публикации
комментар: комментарии
закладк: закладки
ещ: ещ
подписчик: подписчики
подписк: подписки
значк: значки
захабрен: захабренный
старож: старожил
бет: бета
тестер: тестер
лучш: лучший
техноавтор: техноавтор
приглаш: приглашен
апрел: апреля
приглашен: приглашению
нло: нло
лаборатор: лаборатория
программирован: программирования
новгородск: новгородский новгородская
государствен: государственный
университет: университет
институт: институт
ран: ран
состо: состоит
хаб: хабах хабы
приглас: пригласил
сайт: сайт сайта
ан: анна
удовиченк: удовиченко
инженер: инженер
короед: короед
пользовател: пользователь
слесар: слесарь
компьютер: компьютерам
алекс: алексей
юшин: юшин
подписа: подписан
компан: компании компания компаний
бел: белая
радуг: радуга
лахт: лахта
центр: центр
тут: туту
ру: ру
сервис: сервис
путешеств: путешествий
росс: россии россия
оборудован: оборудование
автоматизац: автоматизации
мониторинг: мониторинга
информац: информация
й: й
откуд: откуда
велик: великий
новгород: новгород
обл: обл
дат: дата
рожден: рождения
ма: мая
зарегистрирова: зарегистрирован
активн: активность
аккаунт: аккаунт
войт: войти
регистрац: регистрация
раздел: разделы
новост: новости
песочниц: песочница
устройств: устройство
документ: документы
соглашен: соглашение
конфиденциальн: конфиденциальность
услуг: услуги
корпоративн: корпоративный
блог: блог
медийн: медийная
реклам: реклама
нативн: нативные
проект: проекты
образовательн: образовательные
программ: программы
стартап: стартапам
мегапроект: мегапроекты
яндекс: яндекс
дзен: дзен
настройк: настройка
язык: языка
техническ: техническая
поддержк: поддержка
вернут: вернуться
стар: старую
верс: версию
dovgaluk: dovgaluk
dii: diy
gtd: gtd
latex: latex
gadget: gadgets
inform: information
secur: security
career: career
abnorm: abnormal
program: programming
debug: debugging
develop: development
android: android
robot: robotics
system: system
smart: smart
hous: house
e: e
commerc: commerce
manag: management
personnel: personnel
sale: sales
project: project
freelanc: freelance
anutau: anutau
dovgalukn: dovgalukn
mixser: mixser
notnot: notnot
theageoflov: theageoflove
yushin: yushin
zordok: zordok
habr: habr
creat: create
servic: services
geek: geeks
tutu: tutu
ru: ru
vk: vk
build: building
internet: internet
wiren: wiren
board: board
facebook: facebook
twitter: twitter
telegram: telegram
youtub: youtube
