александр: александр
мачуговск: мачуговский
дизайнер: дизайнер
исследовател: исследователь
демосценер: демосценер
плеч: плечами
художествен: художественная
школ: школа
кафедр: кафедра
искусствен: искусственного
интеллект: интеллекта
миэм: миэм
программир: программирую
удовольств: удовольствия
демосц: демосцена
последн: последние
проектир: проектирую
взаимодейств: взаимодействие
пользовател: пользователем
цифров: цифровых
продукт: продуктах продуктов
изучен: изучение
аудитор: аудитории
тон: тон
общен: общения
интерфейсн: интерфейсные
текст: тексты
эргономик: эргономика
интерфейс: интерфейсов
продуктов: продуктовые
сценар: сценарии сценариев
использован: использования
создан: создание
макет: макетов
прототип: прототипов
пользовательск: пользовательское
тестирован: тестирование
анализ: анализ
дан: данных
оптимизац: оптимизация
графическ: графический
дизайн: дизайн
проектирован: проектирование
поддержк: поддержка
разработчик: разработчиками
аналитик: аналитиками
локализатор: локализаторами
техническ: техническими
писател: писателями
игра: играю
музыкальн: музыкальных
инструмент: инструментах
пиш: пишу
музык: музыку
видеоигр: видеоигр
кухаренк: кухаренко
программист: программист
график: графика
реальн: реального
москв: москва
московск: московская
обл: обл
росс: россия
habr: habr habred
author: author authors
stream: streams
develop: development
admin: admin
design: design
manag: management
market: marketing
popsci: popsci
search: search
profil: profile
pull: pull
refresh: refresh
karma: karma
rate: rating
manw: manwe
sand: sands
ux: ux
ui: ui
post: posts
comment: comments
bookmark: bookmarks
dropdown: dropdown
follow: followers
badg: badges
oldtim: oldtimer
invit: invited invitation
januari: january
ufo: ufo
cjm: cjm
review: review
kit: kit
belong: belongs
hub: hubs
gtd: gtd
mesh: mesh
network: networks
demoscen: demoscene
inform: information
secur: security
artifici: artificial
intellig: intelligence
career: career
cryptocurr: cryptocurrencies
hardwar: hardware
media: media
websit: website
xf: xf
x: x
locat: location
regist: registered
activ: activity
todai: today
account: account
log: log
sign: sign
section: sections
new: news
compani: companies
sandbox: sandbox
work: works
document: documents
agreement: agreement
confidenti: confidential
servic: services
corpor: corporate
blog: blogs
advertis: advertising
special: special
project: projects
educ: education
program: programs
startup: startups
megaproject: megaprojects
facebook: facebook
twitter: twitter
telegram: telegram
languag: language
set: settings
support: support
return: return
version: version
