п: п
тр: тр
собол: соболев
санкт: санкт
петербург: петербург
област: область
росс: россия
habr: habr habred
author: author authors
stream: streams
develop: development
admin: admin
design: design
manag: management
market: marketing
popsci: popsci
search: search
profil: profile
pull: pull
refresh: refresh
karma: karma
rate: rating
frog: frog
user: user
post: posts
comment: comments
bookmark: bookmarks
dropdown: dropdown
follow: followers
badg: badges
oldtim: oldtimer
invit: invited invitation
june: june
alexzel: alexzel
belong: belongs
hub: hubs
agil: agile
creativ: creative
common: commons
gtd: gtd
javascript: javascript
node: node
js: js
busi: business
model: models
biographi: biography
geek: geeks
legisl: legislation
career: career
astronaut: astronautics
patent: patenting
program: programming programs
start: start
websit: website
mobil: mobile
applic: applications
terminolog: terminology
e: e
commerc: commerce
media: media
personnel: personnel
project: project projects
show: show
inform: information
st: st
locat: location
regist: registered
activ: activity
todai: today
account: account
log: log
sign: sign
section: sections
new: news
compani: companies
sandbox: sandbox
work: works
document: documents
agreement: agreement
confidenti: confidential
servic: services
corpor: corporate
blog: blogs
advertis: advertising
special: special
educ: education
startup: startups
megaproject: megaprojects
facebook: facebook
twitter: twitter
telegram: telegram
languag: language
set: settings
support: support
return: return
version: version
